tag,count,company,possible parent
b2bmedia/aumago,253,,
hg insights,253,,
sony,252,,
tea,252,,
reference,252,,
utah,252,,
enthusiasts,252,,
experian sp,252,,
clusters,252,,
soccer team,252,,
consumerwatch network consumer audiences,252,,
middle management,251,,
motorcycle,251,,
clothing & accessories,251,,
nielsen tech,251,,
telecommunications and mobile tech,251,,
mfg,251,,
full,250,,
chocolate,250,,
moms,250,,
vehicle owner,250,,
technology and computing,250,,
general consumer,250,,
201810,250,,
large,249,,
17,249,,
business industry,249,,
smartphones,249,,
passionate about,249,,
auto powered by polk,249,,
transactions,249,,
se,248,,
device data,248,,
exelate australia interest,248,,
yosemite,248,,
liquor & spirits,247,,
occupation detail,247,,
individual demographics,247,,
nbc,246,,
summer,246,,
hh,246,,
gas stations,245,,
xandr,245,,
durable goods,244,,
nfl,244,,
sports enthusiasts,244,,
consumer product,244,,
abbott,244,,
weather conditions,244,,
mobile games,244,,
semasio inc.,244,,
geographie,244,,
tickets,243,,
netflix,242,,
partners,242,,
voter,242,,
tvplayer,242,,
mobile location audiences,242,,
fast casual restaurants,241,,
audio,241,,
cbs,240,,
category affinity,240,,
fresh,240,,
claritas sports,240,,
nielsen es,240,,
knowwho influencer,240,,
oceania,239,,
oh,239,,
nebraska,238,,
nevada,238,,
sc,238,,
va,238,,
business type,238,,
att,238,,
xas,238,,
conditions and treatments,238,,
soft drinks,237,,
language spoken,237,,
tablets,237,,
nielsen,237,,
uk dynata,237,,
finance and insurance,236,,
$0,236,,
credit,236,,
opel,236,,
children in household,236,,
food and beverages,236,,
reach amplified desktop audience,236,,
frozen,235,,
economic cohorts,235,,
car brand,234,,
subscribers,234,,
au defind,234,,
au dynata,234,,
8,233,,
mortgage,233,,
motorcycles,233,,
data,233,,
tv viewing,233,,
head,233,,
manufacturing industry,233,,
auto model,233,,
professional licenses,232,,
saphire,232,,
nielsen ca,232,,
bakery/baking supplies,231,,
us hispanics,231,,
housing & property,231,,
uk omnidigital by meritdirect,231,,
mashable,231,,
acxiom cpg,231,,
engine group,231,,
business contacts,230,,
take 5 media,230,,
prizm premier,230,,
tech targets,229,,
life insurance,229,,
landrover,229,,
freckle iot,229,,
retail shoppers,228,,
family composition,228,,
us data,228,,
nielsen movies,228,,
semcasting,228,,
acxiom media,228,,
us claritas,228,,
investments,227,,
millennials,227,,
hr,227,,
apparel & accessories,227,,
top management,227,,
sports viewership,227,,
department store,226,,
reach desktop audience,226,,
tradelab nice_price,226,,
presence of children,225,,
online shoppers,225,,
family & parenting,225,,
northern europe,225,,
ambient,225,,
helix personas,225,,
fi ndr,225,,
beer & ale,224,,
niche industry segments,224,,
grocery shoppers,224,,
healthcare providers,224,,
consumer product buyers,224,,
bk_in,224,,
context control targeting,224,,
car,223,,
ms,223,,
branded,223,,
properties,223,,
dmp ing,223,,
level,222,,
65,222,,
hawaii,222,,
walgreens,222,,
ok,222,,
exelate ca b2b,222,,
cross,221,,
pet care,221,,
4q16,221,,
content language,221,,
occupations and job functions,220,,
household demographics,220,,
ign,220,,
primary vehicle make,220,,
"$50,000",219,,
s,219,,
verified,219,,
business product buyers,219,,
adprime,219,,
acxiom us automotive,219,,
purchase intent in travel,219,,
us dynata,219,,
gambling,218,,
suv,218,,
gifts,218,,
browser,218,,
motel,218,,
shopper profiles,218,,
style and fashion,218,,
retail precisetarget,218,,
tennis,217,,
holiday,217,,
composition,217,,
influencer audiences,217,,
global future plc,217,,
cooking,216,,
donor,216,,
naics code,216,,
over,216,,
moderate spenders,216,,
acxiom demographic,216,,
1pd,216,,
kw,215,,
vermont,215,,
peru,215,,
previous residence,215,,
ut,215,,
winter,215,,
reach amplified mobile audience,215,,
retail centres,215,,
light spenders,215,,
nielsen lifestyle,215,,
"$500,000",214,,
dish,214,,
psychographic/attitudes,214,,
pet supplies,214,,
reach mobile audience,214,,
vehicle type,213,,
ram,213,,
likely credit card,213,,
hyper intent,213,,
small businesses,212,,
shoppers,212,,
careers,212,,
dlx demographics,212,,
pfizer,212,,
