,Data Provider Name,Data Provider ID,Segment ID,Segment Name
359,Lotame,422,1919298,automobile models - ford expedition (lotame)
360,Lotame,422,1919299,automobile models - ford explorer (lotame)
361,Lotame,422,1919300,automobile models - ford fiesta (lotame)
362,Lotame,422,1919301,automobile models - ford flex (lotame)
363,Lotame,422,1919302,automobile models - ford focus (lotame)
364,Lotame,422,1919304,automobile models - ford fusion (lotame)
365,Lotame,422,1919305,automobile models - ford mustang (lotame)
366,Lotame,422,1919306,automobile models - ford ranger (lotame)
367,Lotame,422,1919307,automobile models - ford taurus (lotame)
368,Lotame,422,1919308,automobile models - ford windstar (lotame)
369,Lotame,422,1919309,automobile models - gmc acadia (lotame)
370,Lotame,422,1919311,automobile models - gmc canyon (lotame)
371,Lotame,422,1919312,automobile models - gmc denali (lotame)
372,Lotame,422,1919313,automobile models - gmc sierra (lotame)
373,Lotame,422,1919314,automobile models - gmc terrain (lotame)
374,Lotame,422,1919315,automobile models - gmc yukon (lotame)
375,Lotame,422,1919317,automobile models - honda accord (lotame)
376,Lotame,422,1919318,automobile models - honda civic (lotame)
377,Lotame,422,1919319,automobile models - honda crosstour (lotame)
378,Lotame,422,1919331,automobile models - honda element (lotame)
379,Lotame,422,1919332,automobile models - honda fit (lotame)
380,Lotame,422,1919333,automobile models - honda odyssey (lotame)
381,Lotame,422,1919334,automobile models - honda pilot (lotame)
382,Lotame,422,1919341,automobile models - honda ridgeline (lotame)
383,Lotame,422,1919343,automobile models - hyundai accent (lotame)
384,Lotame,422,1919354,automobile models - hyundai elantra (lotame)
385,Lotame,422,1919364,automobile models - hyundai equus (lotame)
386,Lotame,422,1919373,automobile models - hyundai genesis (lotame)
387,Lotame,422,1919383,automobile models - hyundai santa fe (lotame)
388,Lotame,422,1919393,automobile models - hyundai sonata (lotame)
389,Lotame,422,1919396,automobile models - hyundai tucson (lotame)
390,Lotame,422,1919399,automobile models - hyundai veloster (lotame)
391,Lotame,422,1919400,automobile models - hyundai veracruz (lotame)
392,Lotame,422,1919414,automobile models - infiniti ex (lotame)
393,Lotame,422,1919418,automobile models - infiniti fx (lotame)
394,Lotame,422,1919419,automobile models - infiniti g (lotame)
395,Lotame,422,1919420,automobile models - infiniti qx (lotame)
396,Lotame,422,1919421,automobile models - jeep compass (lotame)
397,Lotame,422,1919422,automobile models - jeep grand cherokee (lotame)
398,Lotame,422,1919423,automobile models - jeep liberty (lotame)
399,Lotame,422,1919424,automobile models - jeep patriot (lotame)
400,Lotame,422,1919425,automobile models - jeep wrangler (lotame)
401,Lotame,422,1919426,automobile models - kia borrego (lotame)
402,Lotame,422,1919427,automobile models - kia cadenza (lotame)
403,Lotame,422,1919428,automobile models - kia forte (lotame)
404,Lotame,422,1919429,automobile models - kia optima (lotame)
405,Lotame,422,1919430,automobile models - kia rio (lotame)
406,Lotame,422,1919431,automobile models - kia sedona (lotame)
407,Lotame,422,1919433,automobile models - kia sorento (lotame)
408,Lotame,422,1919434,automobile models - kia soul (lotame)
409,Lotame,422,1919435,automobile models - kia sportage (lotame)
410,Lotame,422,1919437,automobile models - land cruiser (lotame)
411,Lotame,422,1919438,automobile models - lexus ct (lotame)
412,Lotame,422,1919439,automobile models - lexus es (lotame)
413,Lotame,422,1919440,automobile models - lexus gs (lotame)
414,Lotame,422,1919441,automobile models - lexus gx (lotame)
415,Lotame,422,1919442,automobile models - lexus hs (lotame)
416,Lotame,422,1919443,automobile models - lexus is (lotame)
417,Lotame,422,1919444,automobile models - lexus ls (lotame)
418,Lotame,422,1919445,automobile models - lexus lx (lotame)
419,Lotame,422,1919446,automobile models - lexus rx (lotame)
420,Lotame,422,1919448,automobile models - lincoln mkt (lotame)
421,Lotame,422,1919449,automobile models - lincoln mkx (lotame)
422,Lotame,422,1919450,automobile models - lincoln navigator (lotame)
423,Lotame,422,1919451,automobile models - lincoln town car (lotame)
424,Lotame,422,1919456,automobile models - mazda miata (lotame)
425,Lotame,422,1919460,automobile models - mazda protege (lotame)
426,Lotame,422,1919461,automobile models - mazda tribute (lotame)
427,Lotame,422,1919462,automobile models - mazda2 (lotame)
428,Lotame,422,1919463,automobile models - mazda3 (lotame)
429,Lotame,422,1919464,automobile models - mazda5 (lotame)
430,Lotame,422,1919466,automobile models - mazda6 (lotame)
431,Lotame,422,1919481,automobile models - mercury mountaineer (lotame)
432,Lotame,422,1919482,automobile models - mercury sable (lotame)
433,Lotame,422,1919483,automobile models - mini cooper (lotame)
434,Lotame,422,1919484,automobile models - mitsubishi eclipse (lotame)
435,Lotame,422,1919485,automobile models - mitsubishi endeavor (lotame)
436,Lotame,422,1919486,automobile models - mitsubishi galant (lotame)
437,Lotame,422,1919487,automobile models - mitsubishi lancer (lotame)
438,Lotame,422,1919493,automobile models - mitsubishi outlander (lotame)
439,Lotame,422,1919498,automobile models - nissan altima (lotame)
440,Lotame,422,1919500,automobile models - nissan armada (lotame)
441,Lotame,422,1919501,automobile models - nissan cube (lotame)
442,Lotame,422,1919502,automobile models - nissan frontier (lotame)
443,Lotame,422,1919503,automobile models - nissan juke (lotame)
444,Lotame,422,1919504,automobile models - nissan maxima (lotame)
445,Lotame,422,1919505,automobile models - nissan murano (lotame)
446,Lotame,422,1919506,automobile models - nissan pathfinder (lotame)
447,Lotame,422,1919508,automobile models - nissan quest (lotame)
